1	H	hydrogen	38	FFFFFF
2	He	helium	32	FFFFFF
3	Li	lithium	134	FFFFFF
4	Be	beryllium	90	FFFFFF
5	B	boron	82	FFFFFF
6	C	carbon	77	FFFFFF
7	N	nitrogen	75	BBBBFF
8	O	oxygen	73	FFBBBB
9	F	fluorine	71	FFFFBB
10	Ne	neon	69	FFFFFF
11	Na	sodium	154	FFFFFF
12	Mg	magnesium	130	FFFFFF
13	Al	aluminium	118	FFFFFF
14	Si	silicon	111	FFBBBB
15	P	phosphorus	106	FFFFFF
16	S	sulfur	102	FFFFBB
17	Cl	chlorine	99	FFFFFF
18	Ar	argon	97	FFFFFF
19	K	potassium	196	FFFFFF
20	Ca	calcium	174	FFFFFF
21	Sc	scandium	144	FFFFFF
22	Ti	titanium	136	FFFFFF
23	V	vanadium	125	FFFFFF
24	Cr	chromium	127	FFFFFF
25	Mn	manganese	139	FFFFFF
26	Fe	iron	125	FFFFFF
27	Co	cobalt	126	FFFFFF
28	Ni	nickel	121	FFFFFF
29	Cu	copper	138	FFFFFF
30	Zn	zinc	131	FFFFFF
31	Ga	gallium	126	FFFFFF
32	Ge	germanium	122	FFFFFF
33	As	arsenic	119	FFFFFF
34	Se	selenium	116	FFFFFF
35	Br	bromine	114	FFBBFF
36	Kr	krypton	110	FFFFFF
37	Rb	rubidium	211	FFFFFF
38	Sr	strontium	192	FFFFFF
39	Y	yttrium	162	FFFFFF
40	Zr	zirconium	148	FFFFFF
41	Nb	niobium	137	FFFFFF
42	Mo	molybdenum	145	FFFFFF
43	Tc	technetium	156	FFFFFF
44	Ru	ruthenium	126	FFFFFF
45	Rh	rhodium	135	FFFFFF
46	Pd	palladium	131	FFFFFF
47	Ag	silver	153	FFFFFF
48	Cd	cadmium	148	FFFFFF
49	In	indium	144	FFFFFF
50	Sn	tin	141	FFFFFF
51	Sb	antimony	138	FFFFFF
52	Te	tellurium	135	FFFFFF
53	I	iodine	133	FFFFFF
54	Xe	xenon	130	FFFFFF
55	Cs	caesium	225	FFFFFF
56	Ba	barium	198	FFFFFF
57	La	lanthanum	169	FFFFFF
58	Ce	cerium	100	FFFFFF
59	Pr	praseodymium	100	FFFFFF
60	Nd	neodymium	100	FFFFFF
61	Pm	promethium	100	FFFFFF
62	Sm	samarium	100	FFFFFF
63	Eu	europium	100	FFFFFF
64	Gd	gadolinium	100	FFFFFF
65	Tb	terbium	100	FFFFFF
66	Dy	dysprosium	100	FFFFFF
67	Ho	holmium	100	FFFFFF
68	Er	erbium	100	FFFFFF
69	Tm	thulium	100	FFFFFF
70	Yb	ytterbium	100	FFFFFF
71	Lu	lutetium	160	FFFFFF
72	Hf	hafnium	150	FFFFFF
73	Ta	tantalum	138	FFFFFF
74	W	tungsten	146	FFFFFF
75	Re	rhenium	159	FFFFFF
76	Os	osmium	128	FFFFFF
77	Ir	iridium	137	FFFFFF
78	Pt	platinum	128	FFFFFF
79	Au	gold	144	FFFFFF
80	Hg	mercury	149	FFFFFF
81	Tl	thallium	148	FFFFFF
82	Pb	lead	147	FFFFFF
83	Bi	bismuth	146	FFFFFF
84	Po	polonium	100	FFFFFF
85	At	astatine	100	FFFFFF
86	Rn	radon	145	FFFFFF
87	Fr	francium	100	FFFFFF
88	Ra	radium	100	FFFFFF
89	Ac	actinium	100	FFFFFF
90	Th	thorium	100	FFFFFF
91	Pa	protactinium	100	FFFFFF
92	U	uranium	100	FFFFFF
93	Np	neptunium	100	FFFFFF
94	Pu	plutonium	100	FFFFFF
95	Am	americium	100	FFFFFF
96	Cm	curium	100	FFFFFF
97	Bk	berkelium	100	FFFFFF
98	Cf	californium	100	FFFFFF
99	Es	einsteinium	100	FFFFFF
100	Fm	fermium	100	FFFFFF
101	Md	mendelevium	100	FFFFFF
102	No	nobelium	100	FFFFFF
103	Lr	lawrencium	100	FFFFFF
104	Rf	rutherfordium	100	FFFFFF
105	Db	dubnium	100	FFFFFF
106	Sg	seaborgium	100	FFFFFF
107	Bh	bohrium	100	FFFFFF
108	Hs	hassium	100	FFFFFF
109	Mt	meitnerium	100	FFFFFF
110	Ds	darmstadtium	100	FFFFFF
111	Rg	roentgenium	100	FFFFFF
112	Cn	copernicium	100	FFFFFF
113	Nh	nihonium	100	FFFFFF
114	Fl	flerovium	100	FFFFFF
115	Mc	moscovium	100	FFFFFF
116	Lv	livermorium	100	FFFFFF
117	Ts	tennessine	100	FFFFFF
118	Og	oganesson	100	FFFFFF